X1,Name,judge_country,number,segment,skater,skater_country,TSS
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,67.9
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,64.1
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,63.9
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,60.5
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,65.8
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,64.6
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,62.9
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,64.1
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,62.6
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Muramoto/Reed,JPN,62
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,61.8
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,57.7
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,58.3
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,62.9
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,65.6
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,60.6
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,61.7
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,58
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Min/Gamelin,KOR,63.9
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,59.3
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,62.1
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,59.2
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,60.9
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,57.9
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,58.4
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,61.6
