"","name","country"
"559","Sylwia NOWAK-TREBACKA","ISU"
"560","Florence CATRY DE SURMONT","FRA"
"561","Shizuko UGAKI","JPN"
"562","Raoul LEBLANC","ISU"
"563","Maria MCLEAN","ISU"
"564","Hongguo REN","CHN"
"565","Alexei URMANOV","ISU"
"566","Pamela CHISLETT","ISU"
"567","Diana STEVENS","ISU"
"568","Thierry MONMINOUX","FRA"
"569","Hye-Kyung LIM","KOR"
"570","Helmut SIEBER","ISU"
"571","Alison RYAN","AUS"
"572","Herbert HOLIK","ISU"
"573","Philippe MAITROT","FRA"
"574","Bernhard JUST","ISU"
"575","Viktor PETRENKO","ISU"
"576","Whitney GAYNOR","ISU"
"577","Katalin BALCZO","HUN"
"578","Ernestien BAKKER","NED"
"579","Jyrina LORENZ","ISU"
"580","Shae ZUKIWSKY","ISU"
"581","Laurent CARRIERE","FRA"
"582","Jayson PEACE","ISU"
"583","Michelle COLLETT","GBR"
"584","Lise ROSTO JENSEN","NOR"
"585","Thomas HECK","GER"
"586","Sung-Hee KOH","KOR"
"587","Christiane MOERTH","AUT"
"588","Miroslav MISUREC","CZE"
"589","Patricia MORITZ","AUS"
"590","Isabel DUVAL DE NAVARRE","ISU"
"591","Ronald BEAU","FRA"
"592","Virginia DE AGOSTINI","ITA"
"593","Verena DIENER","ISU"
"594","Deborah CURRIE","USA"
"595","Ko-Man TING","TWN"
"596","Asa NORDBACK","SWE"
"597","Elena LISOVA","UKR"
"598","Patricia S. FRENCH","ISU"
"599","Kenji AMAKO","JPN"
"600","Alexander KOGAN","RUS"
"601","Jeroen PRINS","NED"
"602","Gilles VANDENBROECK","FRA"
"603","Yury KLIUSHNIKOV","UKR"
"604","Simone MOORE","ISU"
"605","Makoto OKAZAKI","ISU"
"606","Elizabeth CAIN","ISU"
"607","Ayumi KOZUKA","JPN"
"608","Line KALDESTAD","ISU"
"609","Danuta DUBROWKO","POL"
"610","Brad COX","ISU"
"611","Ursula STAHL","AUT"
"612","Ece ESEN","TUR"
"613","Daniel DELFA","ESP"
"614","Michela CESARO","ITA"
"615","Christine BLANC","SUI"
"616","Tatiana DANILENKO","RUS"
"617","Elena BURIAK","RUS"
"618","Dan CHEN","HKG"
"619","Birgit FOELL","GER"
